"trap","adelobotrys adscendens","alchorneopsis floribunda","annona papilionella","apeiba membranacea","aristolochia sprucei","asterogyne martiana","bertiera guianensis","bignonia binata","brosimun lactescens","bursera simaruba","byrsonima crassifolia","casearia arborea","cecropia insignis","cecropia obtusifolia","cespedesia spathulata","cestrum schlechtendalii","clethra sp","clidemia crenulata","clidemia densiflora","clidemia dentata","clidemia discolor","clidemia japurensis","conostegia subcrustulata","conostegia xalapensis","cordia alliodora","cordia bicolor","davilla nitida","dendropanax arboreus","doliocarpus multiflorus","euterpe precatoria","ficus colubrinae","ficus donell-smithi","ficus insipida","ficus nymphaefolia","ficus pertusa","ficus sp","ficus sp2","Forsteronia myriantha","goethalsia meiantha","gouania polygama","guatteria aeruginosa","guatteria amplifolia","guatteria recurvisepala","hamelia xerocarpa","hampea appendiculata","heisteria scandens","heterocondylus vitalbae","iriartea deltoidea","jacaranda copaia","laetia procera","lauraceae","leandra granatensis","leandra longicoma","luehea seemannii","mandevilla hirsuta","mendoncia tonduzii","miconia affinis","miconia approximata","miconia elata","miconia lacera","miconia ligulata","miconia multispicata","miconia nervosa","miconia prasina","miconia stevensiana","myrcia splendens","nectandra membranacea","neea laetevirens","palicourea guianensis","paullinia cf. fasciculata","paullinia granatensis","paullinia ingifolia","piper aduncum","piper arcteacuminatum","piper auritifolium","piper auritum","piper colonense","piper melanocladum","piper multiplinervium","piper peltatum","piper sancti-felicis","piper schiedeanum","piper sp","piper trigonum","piptocarpha poeppigiana","prestoea decurrens","protium sp","psychotria brachiata","psychotria chiapensis","psychotria gracilenta","psychotria luxurians","psychotria marginata","psychotria panamensis","psychotria poeppigiana","psychotria sp","rollinia pittierii","rubiaceae","sabicea panamensis","sabicea villosa","schefflera nicaraguensis","schlegelia fastigiata","senna papillosa","serjania mexicana","serjania pyramidata","simarouba amara","siparuna grandiflora","siparuna paucifolia","siparuna thecaphora","smilax officinalis","solanum rugosum","solanum volubile","talauma gloriensis","tetrapterys sp","urera caracasana","virola sebifera","vismia baccifera","vismia billbergiana","vismia macrophylla","vochysia ferruginea","warszewiczia coccinea","witheringia asterotricha","xylopia sericophylla","zanthoxylum panamense"
33,0,0,0,0,2,0,0,0,0,1,0,0,0,164,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,5,0,0,0,0,0,0,0,12,38,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,15,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,22,0,3,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,16,0,2,0,0,0,54,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1
35,0,7,0,0,2,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,198,0,0,0,7,1,0,0,0,0,0,0,0,0,0,786,0,11,0,0,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,1,0
36,0,4,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,0,1,0,0,0,0,10,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,157,0,2,0,2,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0
37,0,2,0,0,1,0,0,0,0,0,0,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,20,0,0,7,0
38,0,3,0,0,0,0,37,0,0,0,0,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,3,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,1,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,23,0,0,1,0
39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
41,0,2,0,0,0,0,0,0,0,0,0,0,6,15,1,0,0,0,0,0,0,77,0,0,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,123,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,50,0,0,0,4,1,683,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,9,0,0,0,2,4
42,0,6,0,0,1,0,0,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5568,2,12,0,2,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0
43,0,3,0,0,7,0,0,0,0,0,0,0,1,44,0,0,0,0,0,1,0,9,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,57,0,0,1,0,34,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2146,0,33,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,2,3,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,9,0,1,0,0,0,0
44,0,606,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
46,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,15,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
47,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,72,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,10,0,0,0,1,0,14,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11550,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,14,12,0,0,0,0,0,0,0,0,0,2,7,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,6,0,2,0,0,230,0,0,0,1,0,0,0,0,0,0,0,0,0,2,31,0,18,0,0,0,0,1,24,0,0,1,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1
52,8,4,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,80,0,227,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,56,0,12,189,0,44,0,0,0,2,0,0,0,0,0,0,2,10,0,105,92,0,57,0,13,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,4,15,250,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,105,36,0,0,0,1,0,0
53,117,7,0,0,0,0,0,0,0,0,0,0,12,97,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,86,0,0,0,1,0,0,0,0,0,0,1,0,0,0,152,0,1,0,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,1,0,18,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
54,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
56,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,153,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
57,0,46,0,0,0,0,0,0,0,0,0,0,10,25,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,13,0,9,0,0,1,0,28,0,5,0,9,135,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,3,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,0,33,0
58,0,113,0,0,0,0,0,0,0,0,0,0,29,147,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,3,1,0,12,0,0,0,0,0,0,5,0,1,0,0,0,0,12,0,0,0,0,0,0,5,0,3,0,0,676,0,2,1,343,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,4,0,0,37,0,0,0,0,0,27,0,0,0,0,6,0,0,0,0,2,0,0,23,7,0,0,47,0
59,0,255,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,3,0,0,31,0,0,0,9,1,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,179,1,0,1,25,1
60,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,103,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
61,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,6,0,0,0,0,0,0,0,0,0,0,2,264,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2,0,0,0,13,0,2,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,63,259,0,5,0,3,0,16,0,223,0,0,0,0,0,0,0,1,0,0,3,4,1,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,3,4,2,1,0,0,1,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,0,0,0,0,1,0,0,0,0,0,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,1,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,0,26,0,0,0,0,1,79,0,0,0,0,0,0,0,1,0,0,0,7,1,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0
65,0,3,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,31,0,0,0,0,0,0,0,0,0,0,17,0,0,1,41,0,4,0,1,0,0,2,139,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1,8,2,0,0,0,1,1
66,0,394,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,611,0,0,0,43,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,1,7,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,4,0
67,0,4635,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,74,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,0,4,0
68,0,1972,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
69,0,364,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,7,0,1,0,78,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0,41,0,6,16,4,74,0,0,0,21,0,0,0,0,0,0,0,0,0,0,6,0,3,0,1,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,1,0,55,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,0
70,0,3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
72,0,3,0,0,0,0,0,0,0,0,0,0,7,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,8,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,1,26,1,0,0,0,0,0,0,0,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,4,0
73,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,21,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,5,130,2,0,0,0,0
74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75,0,1,0,0,0,0,0,0,0,0,0,0,28,16,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,3,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,4,0,2,9,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,1,31,0,42,0,4,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,1,0,0,2,0
